序號,縣市別代碼,工廠名稱,登記編號,廠址,產業類別,產品名稱
297,66000,笠豐食品有限公司,99669773,臺中市西屯區何仁里長安路一段１０８號,08食品製造業,089其他食品
298,66000,新和興海洋企業股份有限公司一廠,99669866,臺中市西屯區協和里工業區三十四路２之３號,08食品製造業,089其他食品
299,66000,華國製藥股份有限公司,99669913,臺中市南屯區寶山里工業區二十三路36號,"20藥品及醫用化學製品製造業,19化學製品製造業,08食品製造業","200藥品及醫用化學製品,194化粧品,089其他食品"
300,66000,臺中市臺中地區農會碾米工廠,99669916,臺中市南屯區寶山里工業區20路28號,08食品製造業,086碾榖、磨粉及澱粉製品
301,66000,意緣企業股份有限公司,99669974,臺中市北區明德里忠明路１７１號,08食品製造業,089其他食品
302,66000,台灣可果美股份有限公司台中廠,99669999,臺中市西屯區協和里工業區三十三路１２之２號,08食品製造業,089其他食品
303,66000,昌臨實業股份有限公司一廠,99670024,臺中市西屯區協和里工業區三十五路20號,08食品製造業,089其他食品
304,66000,吉康食品股份有限公司,99670056,臺中市西屯區協和里工業區三十一路１３號,08食品製造業,089其他食品
305,66000,富生醫藥生技股份有限公司,99670065,臺中市南屯區寶山里工業區二十三路19號,"19化學製品製造業,20藥品及醫用化學製品製造業,08食品製造業","194化粧品,089其他食品,200藥品及醫用化學製品"
306,66000,久大食品廠,99670124,臺中市東區東南里十甲路１號,08食品製造業,"083蔬果處理及其製品,089其他食品,086碾榖、磨粉及澱粉製品"
307,66000,全誠茶品股份有限公司,99670128,臺中市北區頂厝里進化北路９５號,08食品製造業,"083蔬果處理及其製品,089其他食品"
308,66000,佳愛餐盒食品廠,99670218,臺中市北區金龍里健行路４２號,08食品製造業,"083蔬果處理及其製品,089其他食品"
309,66000,義益食品廠,99670239,臺中市北區錦平里錦平街50巷2號,08食品製造業,089其他食品
310,66000,太陽堂食品企業有限公司,99670268,臺中市北屯區三和里東山路一段１４６巷４６之１號,08食品製造業,089其他食品
311,66000,大同餐盒有限公司,99670382,臺中市北區建成里天祥街２７４號,08食品製造業,"089其他食品,083蔬果處理及其製品"
312,66000,允正行,99670383,臺中市西屯區何厝里大洲街１１３號,08食品製造業,086碾榖、磨粉及澱粉製品
313,66000,香王實業股份有限公司二廠,99670534,臺中市西屯區協和里工業區三十四路16號,08食品製造業,089其他食品
